month_number,price1,price1noadj,security_id,ticker
480,14.02,14.02,79645,HTGC
480,0.2909,0.2909,52136,ACPRT
480,35.93,35.93,135,ICITF
480,47.16,47.16,46791,PGDDF
480,22.38,22.38,46792,JEMTF
480,338,338,150,SFLAF
480,12.0918,12.0918,256,CFYFF
480,22.5474,22.5474,304,XLEY
480,25.9936,25.9936,305,XLUY
480,24.1745,24.1745,306,XLTY
480,24.0902,24.0902,307,XLSY
480,34.71,34.71,322,DESC
480,52.41,52.41,323,IFIX
480,51.91,51.91,324,IGVT
480,23.865,23.865,326,DEMG
480,26.9,26.9,343,DBKO
480,17.4888,17.4888,554,EATOF
480,27.37,27.37,575,PRID
480,27.54,27.54,576,HONR
480,0.0472,0.0472,52142,GDVRT
480,21.8069,21.8069,916,COMG
480,3.1,3.1,930,HZRZF
480,9.06067,9.06067,52368,HZMXF
480,28.482,28.482,934,HRZSF
480,20.7474,20.7474,1318,IUNTF
480,27.6371,27.6371,46887,VNRDF
480,9.1778,9.1778,2332,CGBLF
480,124.2243,124.2243,2334,DAXXF
480,41.9,41.9,52168,IVMKF
480,45.35,45.35,2393,IHHSF
480,8.16,8.16,52380,ISZZF
480,326.79651,326.79651,46906,SRRCF
480,143.96001,143.96001,52174,SGACF
480,46.1,46.1,52175,SGSSF
480,18.25,18.25,52382,SSGUF
480,33.4,33.4,2419,USUTF
480,89.55,89.55,2425,VFPEF
480,56.5,56.5,2428,VNGGF
480,108.85,108.85,52383,ISXAF
480,137.8,137.8,52384,MXBGF
480,58.8,58.8,52385,VGGDF
480,8.43994,8.43994,2514,ISHAF
480,0.0001,0.0001,2522,AQFD
480,2.8,2.8,46920,ACEYY
480,0.08,0.08,2623,VXEL
480,2500,2500,2666,ATCD
480,0,0,52391,AVFL
480,0.0402,0.0402,46990,GLDRF
480,0.0528,0.0528,46997,BENZF
480,18.74,18.74,51825,BCHFP
480,0.0043,0.0043,3075,BDCM
480,0.0645,0.0645,47014,CRFTD
480,0.05,0.05,3095,CAJSW
480,0.0894,0.0894,3120,CNMVF
480,0.054000000000000006,0.054000000000000006,47023,KGHZF
480,0.21,0.21,47031,CNMTF
480,103.5,103.5,3247,AILLN
480,1.5,1.5,47092,HWGG
480,49,49,47095,CNPWP
480,22.75,22.75,47105,CNIGP
480,0.15,0.15,51829,DMPWW
480,0.03,0.03,47115,GFKRF
480,5.7933,5.7933,47130,DDHRF
480,10.602,10.602,47131,DNDEF
480,0.015,0.015,47151,ENCB
480,4,4,47166,FCGN
480,0,0,47195,FUUN
480,0.0416,0.0416,47222,VYYRF
480,4.3,4.3,47240,HLFDY
480,2.15,2.15,4168,HGPI
480,96.3,96.3,4226,AILIH
480,0.01,0.01,4259,IMLWF
480,96,96,47289,INPAP
480,0,0,47293,IVVI
480,902,902,4520,LCNTU
480,0.1451,0.1451,52012,MRBLF
480,0,0,47333,MVPH
480,0,0,47335,MSLM
480,0.0001,0.0001,47353,NRTHF
480,0.0003,0.0003,47375,NWWTF
480,34.27,34.27,4894,OSBK
480,0.044,0.044,4935,ORFDF
480,0.0001,0.0001,4945,OMDD
480,0.0001,0.0001,51847,PGAI
480,0.01,0.01,4999,AITA
480,0.91,0.91,5131,IPDN
480,0.0273,0.0273,5212,RTMFF
